Name,Year,Group,Status,Birth Date
Joseph M. Acaba,2004,19,Active,5/17/1967
Loren W. Acton,,,Retired,3/7/1936
James C. Adamson,1984,10,Retired,3/3/1946
Thomas D. Akers,1987,12,Retired,5/20/1951
Buzz Aldrin,1963,3,Retired,1/20/1930
Andrew M. Allen,1987,12,Retired,8/4/1955
Joseph P. Allen,1967,6,Retired,6/27/1937
Scott D. Altman,1995,15,Retired,8/15/1959
William A. Anders,1963,3,Retired,10/17/1933
Clayton C. Anderson,1998,17,Retired,2/23/1959
Michael P. Anderson,1995,15,Deceased,12/25/1959
Dominic A. Antonelli,2000,18,Active,8/23/1967
Jerome Apt III,1985,11,Retired,4/18/1949
Lee J. Archambault,1998,17,Retired,8/25/1960
Neil A. Armstrong,1962,2,Deceased,8/5/1930
Richard R. Arnold II,2004,19,Active,11/26/1963
Jeffrey S. Ashby,1995,15,Retired,6/1/1954
Serena M. Aunon,2009,20,Active,4/9/1976
James P. Bagian,1980,9,Retired,2/22/1952
Ellen S. Baker,1984,10,Retired,4/27/1953
Michael A. Baker,1985,11,Management,10/27/1953
Michael R. Barratt,2000,18,Active,4/16/1959
Daniel T. Barry,1992,14,Retired,12/30/1953
John-David F. Bartoe,,,Retired,11/17/1944
Charles A. Bassett II,1963,3,Deceased,12/30/1931
Alan L. Bean,1963,3,Retired,3/15/1932
Robert L. Behnken,2000,18,Active,7/28/1970
John E. Blaha,1980,9,Retired,8/26/1942
Michael J. Bloomfield,1995,15,Retired,3/16/1959
Guion S. Bluford Jr.,1978,8,Retired,11/22/1942
Karol J. Bobko,1969,7,Retired,12/23/1937
Eric A. Boe,2000,18,Active,10/1/1964
Charles F. Bolden Jr.,1980,9,Management,8/19/1946
Frank Borman,1962,2,Retired,3/14/1928
Stephen G. Bowen,2000,18,Active,2/13/1964
Kenneth D. Bowersox,1987,12,Retired,11/14/1956
Charles E. Brady Jr.,1992,14,Deceased,8/12/1951
Vance D. Brand,1966,5,Retired,5/9/1931
Daniel C. Brandenstein,1978,8,Retired,1/17/1943
Randolph J. Bresnik,2004,19,Active,9/11/1967
Roy D. Bridges Jr.,1980,9,Retired,7/19/1943
Curtis L. Brown Jr.,1987,12,Retired,3/11/1956
David M. Brown,1996,16,Deceased,4/16/1956
Mark N. Brown,1984,10,Retired,11/18/1951
James F. Buchli,1978,8,Retired,6/20/1945
Jay Clark Buckey,,,Retired,6/6/1956
John S. Bull,1966,5,Deceased,9/25/1934
Daniel C. Burbank,1996,16,Active,7/27/1961
Daniel W. Bursch,1990,13,Retired,7/25/1957
Robert D. Cabana,1985,11,Management,1/23/1949
Yvonne D. Cagle,1996,16,Management,4/24/1959
Fernando Caldeiro,1996,16,Deceased,6/12/1958
Tracy E. Caldwell (Dyson),1998,17,Active,8/14/1969
Charles J. Camarda,1996,16,Management,5/8/1952
Kenneth D. Cameron,1984,10,Retired,11/29/1949
Duane G. Carey,1996,16,Retired,4/30/1957
M. Scott Carpenter,1959,1,Retired,5/1/1925
Gerald P. Carr,1966,5,Retired,8/22/1932
Manley Lanier Carter Jr.,1984,10,Deceased,8/15/1947
John H. Casper,1984,10,Management,7/9/1943
Christopher J. Cassidy,2004,19,Active,1/4/1970
Robert Cenker,,,Retired,11/5/1948
Eugene A. Cernan,1963,3,Retired,3/14/1934
Roger B. Chaffee,1963,3,Deceased,2/15/1935
Gregory E. Chamitoff,1998,17,Active,8/6/1962
Franklin R. Chang-Diaz,1980,9,Retired,4/5/1950
Philip K. Chapman,1967,6,Retired,3/5/1935
Kalpana Chawla,1995,15,Deceased,6/1/1961
Leroy Chiao,1990,13,Retired,8/28/1960
Kevin P. Chilton,1987,12,Retired,3/11/1954
Laurel B. Clark,1996,16,Deceased,3/10/1961
Mary L. Cleave,1980,9,Retired,2/5/1947
Michael R. Clifford,1990,13,Retired,10/13/1952
Michael L. Coats,1978,8,Retired,1/16/1946
Kenneth D. Cockrell,1990,13,Management,4/9/1950
Catherine G. Coleman,1992,14,Active,12/14/1960
Eileen M. Collins,1990,13,Retired,11/19/1959
Michael Collins,1963,3,Retired,10/31/1930
Charles Conrad Jr.,1962,2,Deceased,5/2/1930
L. Gordon Cooper Jr.,1959,1,Deceased,3/6/1927
Richard O. Covey,1978,8,Retired,8/1/1946
Timothy J. Creamer,1998,17,Management,11/15/1959
John O. Creighton,1978,8,Retired,4/28/1943
Robert L. Crippen,1969,7,Retired,9/11/1937
Roger K. Crouch,,,Retired,9/12/1940
Frank L. Culbertson Jr.,1984,10,Retired,5/15/1949
Walter Cunningham,1963,3,Retired,3/16/1932
Robert L. Curbeam Jr.,1995,15,Retired,3/5/1962
Nancy J. Currie,1990,13,Management,12/29/1958
N. Jan Davis,1987,12,Retired,11/1/1953
Lawrence J. Delucas,,,Retired,7/11/1950
Alvin B. Drew Jr.,2000,18,Active,11/5/1962
Brian Duffy,1985,11,Retired,6/20/1953
Charles M. Duke Jr.,1966,5,Retired,10/3/1935
Bonnie J. Dunbar,1980,9,Retired,3/3/1949
Samuel T. Durrance,,,Retired,9/17/1943
James P. Dutton Jr.,2004,19,Management,11/20/1968
Joe F. Edwards Jr.,1995,15,Retired,2/3/1958
Donn F. Eisele,1963,3,Deceased,5/23/1930
Anthony W. England,1967,6,Retired,5/15/1942
Joe H. Engle,1966,5,Retired,8/26/1932
Jeanette J. Epps,2009,20,Active,11/3/1970
Ronald E. Evans Jr.,1966,5,Deceased,11/10/1933
John M. Fabian,1978,8,Retired,1/28/1939
Christopher J. Ferguson,1998,17,Retired,9/1/1961
Martin J. Fettman,,,Retired,12/31/1956
Andrew J. Feustel,2000,18,Active,8/25/1965
E. Michael Fincke,1996,16,Active,3/14/1967
Jack D. Fischer,2009,20,Active,1/23/1974
Anna L. Fisher,1978,8,Management,8/24/1949
William F. Fisher,1980,9,Retired,4/1/1946
C. Michael Foale,1987,12,Active,1/6/1957
Kevin A. Ford,2000,18,Active,7/7/1960
Michael J. Foreman,1998,17,Management,3/29/1957
Patrick G. Forrester,1996,16,Management,3/31/1957
Michael E. Fossum,1998,17,Active,12/19/1957
Theodore C. Freeman,1963,3,Deceased,2/18/1930
Stephen N. Frick,1996,16,Management,9/30/1961
C. Gordon Fullerton,1969,7,Retired,10/11/1936
F. Andrew Gaffney,,,Retired,6/9/1946
Ronald J. Garan Jr.,2000,18,Management,10/20/1961
Dale A. Gardner,1978,8,Retired,11/8/1948
Guy S. Gardner,1980,9,Retired,1/6/1948
Jake Garn,,,Retired,10/12/1932
Owen K. Garriott,1965,4,Retired,11/22/1930
Charles D. Gemar,1985,11,Retired,8/4/1955
Michael L. Gernhardt,1992,14,Management,5/4/1956
Edward G. Gibson,1965,4,Retired,11/8/1936
Robert L. Gibson,1978,8,Retired,10/30/1946
Edward G. Givens Jr.,1966,5,Deceased,1/5/1930
John H. Glenn Jr.,1959,1,Retired,7/18/1921
Linda M. Godwin,1985,11,Retired,7/2/1952
Michael T. Good,2000,18,Management,10/13/1962
Richard F. Gordon Jr.,1963,3,Retired,10/5/1929
Dominic L. Gorie,1995,15,Retired,5/2/1957
Ronald J. Grabe,1980,9,Retired,6/13/1945
Duane E. Graveline,1965,4,Retired,3/2/1931
Frederick D. Gregory,1978,8,Retired,1/7/1941
William G. Gregory,1990,13,Retired,5/14/1957
S. David Griggs,1978,8,Deceased,9/7/1939
Virgil I. Grissom,1959,1,Deceased,4/3/1926
John M. Grunsfeld,1992,14,Management,10/10/1958
Sidney M. Gutierrez,1984,10,Retired,6/27/1951
Fred W. Haise Jr.,1966,5,Retired,11/14/1933
James D. Halsell Jr.,1990,13,Retired,9/29/1956
Kenneth T. Ham,1998,17,Retired,12/12/1964
L. Blaine Hammond Jr.,1984,10,Retired,1/16/1952
Gregory J. Harbaugh,1987,12,Retired,4/15/1956
Bernard A. Harris Jr.,1990,13,Retired,6/26/1956
Terry J. Hart,1978,8,Retired,10/27/1946
Henry W. Hartsfield Jr.,1969,7,Retired,11/21/1933
Frederick H. Hauck,1978,8,Retired,4/11/1941
Steven A. Hawley,1978,8,Retired,12/12/1951
Susan J. Helms,1990,13,Retired,2/26/1958
Karl G. Henize,1967,6,Deceased,10/17/1926
Thomas J. Hennen,,,Retired,8/17/1952
Terence T. Henricks,1985,11,Retired,7/5/1952
Jose M. Hernandez,2004,19,Retired,8/7/1962
John B. Herrington,1996,16,Retired,9/14/1958
Richard J. Hieb,1985,11,Retired,9/21/1955
Joan E. Higginbotham,1996,16,Retired,8/3/1964
David C. Hilmers,1980,9,Retired,1/28/1950
Kathryn P. Hire,1995,15,Management,8/26/1959
Charles O. Hobaugh,1996,16,Retired,11/5/1961
Jeffrey A. Hoffman,1978,8,Retired,11/2/1944
Donald L. Holmquest,1967,6,Retired,4/7/1939
Michael S. Hopkins,2009,20,Active,12/28/1968
Scott J. Horowitz,1992,14,Retired,3/24/1957
Millie Hughes-Fulford,,,Retired,12/21/1945
Douglas G. Hurley,2000,18,Active,10/21/1966
Rick D. Husband,1995,15,Deceased,7/12/1957
James B. Irwin,1966,5,Deceased,3/17/1930
Marsha S. Ivins,1984,10,Retired,4/15/1951
Gregory B. Jarvis,,,Deceased,8/24/1944
Mae C. Jemison,1987,12,Retired,10/17/1956
Tamara E. Jernigan,1985,11,Retired,5/7/1959
Brent W. Jett,1992,14,Retired,10/5/1958
Gregory C. Johnson,1998,17,Management,7/30/1954
Gregory H. Johnson,1998,17,Active,5/12/1962
Thomas D. Jones,1990,13,Retired,1/22/1955
Janet L. Kavandi,1995,15,Management,7/17/1959
James M. Kelly,1996,16,Management,5/14/1964
Mark E. Kelly,1996,16,Retired,2/21/1964
Scott J. Kelly,1996,16,Active,2/21/1964
Joseph P. Kerwin,1965,4,Retired,2/19/1932
Susan L. Kilrain (Still),1995,15,Retired,10/24/1961
Robert Shane Kimbrough,2004,19,Active,6/4/1967
Timothy L. Kopra,2000,18,Active,4/9/1963
Kevin R. Kregel,1992,14,Retired,9/16/1956
Wendy B. Lawrence,1992,14,Retired,7/2/1959
Mark C. Lee,1984,10,Retired,8/14/1952
David C. Leestma,1980,9,Management,5/6/1949
William B. Lenoir,1967,6,Deceased,3/14/1939
Fred W. Leslie,,,Retired,12/19/1951
Byron K. Lichtenberg,,,Retired,2/19/1948
Don L. Lind,1966,5,Retired,5/18/1930
Kjell N. Lindgren,2009,20,Active,1/23/1973
Steven W. Lindsey,1995,15,Retired,8/24/1960
Jerry M. Linenger,1992,14,Retired,1/16/1955
Richard M. Linnehan,1992,14,Management,9/19/1957
Gregory T. Linteris,,,Retired,10/4/1957
John A. Llewellyn,1967,6,Retired,4/22/1933
Paul S. Lockhart,1996,16,Retired,4/28/1956
Michael E. Lopez-Alegria,1992,14,Retired,5/30/1958
Christopher J. Loria,1996,16,Retired,7/9/1960
J. Mike Lounge,1980,9,Deceased,6/28/1946
Jack R. Lousma,1966,5,Retired,2/29/1936
Stanley G. Love,1998,17,Management,6/8/1965
James A. Lovell Jr.,1962,2,Retired,3/25/1928
G. David Low,1984,10,Deceased,2/19/1956
Edward T. Lu,1995,15,Retired,7/1/1963
Shannon W. Lucid,1978,8,Retired,1/14/1943
Sandra H. Magnus,1996,16,Retired,10/30/1964
Thomas H. Marshburn,2004,19,Active,8/29/1960
Michael J. Massimino,1996,16,Management,8/19/1962
Richard A. Mastracchio,1996,16,Active,2/11/1960
Thomas K. Mattingly II,1966,5,Retired,3/17/1936
K. Megan McArthur,2000,18,Active,8/30/1971
William S. McArthur Jr.,1990,3,Management,7/26/1951
S. Christa McAuliffe,,,Deceased,9/2/1948
Jon A. McBride,1978,8,Retired,8/14/1943
Bruce McCandless II,1966,5,Retired,6/8/1937
William C. McCool,1996,16,Deceased,9/23/1961
Michael J. McCulley,1984,10,Retired,8/4/1943
James A. McDivitt,1984,2,Retired,6/10/1929
Donald R. McMonagle,1987,12,Retired,5/14/1952
Ronald E. McNair,1978,8,Deceased,10/21/1950
Carl J. Meade,1985,11,Retired,11/16/1950
Bruce E. Melnick,1987,12,Retired,12/5/1949
Pamela A. Melroy,1995,15,Retired,9/17/1961
Leland D. Melvin,1998,17,Management,2/15/1964
Dorothy M. Metcalf-Lindenberger,2004,19,Active,5/2/1975
F. Curtis Michel,1965,4,Retired,6/5/1934
Edgar D. Mitchell,1966,5,Retired,9/17/1930
Barbara R. Morgan,1998,17,Retired,11/28/1951
Lee M. Morin,1996,16,Management,9/9/1952
Richard M. Mullane,1978,8,Retired,9/10/1945
Story Musgrave,1967,6,Retired,8/19/1935
Steven R. Nagel,1978,8,Retired,10/27/1946
Bill Nelson,,,Retired,9/29/1942
George D. Nelson,1978,8,Retired,7/13/1950
James H. Newman,1990,13,Retired,10/16/1956
Carlos I. Noriega,1995,15,Retired,10/8/1959
Lisa M. Nowak,1996,16,Retired,5/10/1963
Karen L. Nyberg,2000,18,Active,10/7/1969
Bryan D. O'Connor,1980,9,Retired,9/6/1946
Brian T. O'Leary,1967,6,Deceased,1/27/1940
Ellen Ochoa,1990,13,Management,5/10/1958
William A. Oefelein,1998,17,Retired,3/29/1965
John D. Olivas,1998,17,Retired,5/25/1966
Ellison S. Onizuka,1978,8,Deceased,6/24/1946
Stephen S. Oswald,1985,11,Retired,6/30/1951
Robert F. Overmyer,1969,7,Deceased,7/14/1936
William A. Pailes,,,Retired,6/26/1952
Scott E. Parazynski,1992,14,Retired,7/28/1961
Ronald A. Parise,,,Deceased,5/24/1951
Robert A. Parker,1967,6,Retired,12/14/1936
Niclolas J. M. Patrick,1998,17,Retired,3/22/1964
James A. Pawelczyk,,,Retired,9/20/1960
Gary E. Payton,,,Retired,6/20/1948
Donald H. Peterson,1969,7,Retired,10/22/1933
Donald R. Pettit,1996,16,Active,4/20/1955
John L. Phillips,1996,16,Retired,4/15/1951
William R. Pogue,1966,5,Retired,1/23/1930
Alan G. Poindexter,1998,17,Deceased,11/5/1961
Mark L. Polansky,1996,16,Retired,6/2/1956
Charles J. Precourt,1990,13,Retired,6/29/1955
William F. Readdy,1987,12,Retired,1/24/1952
Kenneth S. Reightler Jr.,1987,12,Retired,3/24/1951
James F. Reilly II,1995,15,Retired,3/18/1954
Garrett E. Reisman,1998,17,Retired,2/10/1968
Judith A. Resnik,1978,8,Deceased,4/5/1949
Paul W. Richards,1996,16,Management,5/20/1964
Richard N. Richards,1980,9,Retired,8/24/1946
Sally K. Ride,1978,8,Deceased,5/26/1951
Patricia Hilliard Robertson,1998,17,Deceased,3/12/1963
Stephen K. Robinson,1995,15,Retired,10/26/1955
Kent V. Rominger,1992,14,Retired,8/7/1956
Stuart A. Roosa,1966,5,Deceased,8/16/1933
Jerry L. Ross,1980,9,Retired,1/20/1948
Kathleen Rubins,2009,20,Active,10/14/1978
Mario Runco Jr.,1987,12,Management,1/26/1952
Albert Sacco Jr.,,,Retired,5/3/1949
Robert L. Satcher Jr.,2004,19,Retired,9/22/1965
Walter M. Schirra Jr.,1959,1,Deceased,3/12/1923
Harrison H. Schmitt,1965,4,Retired,7/3/1935
Russell L. Schweickart,1963,3,Retired,10/25/1935
Francis R. Scobee,1978,8,Deceased,5/19/1939
David R. Scott,1963,3,Retired,6/6/1932
Winston E. Scott,1992,14,Retired,8/6/1950
Paul D. Scully-Power,,,Retired,5/28/1944
Richard A. Searfoss,1990,13,Retired,6/5/1956
Margaret Rhea Seddon,1978,8,Retired,11/8/1947
Elliot M. See Jr.,1962,2,Deceased,7/23/1927
Ronald M. Sega,1990,13,Retired,12/4/1952
Piers J. Sellers,1996,16,Management,4/11/1955
Brewster H. Shaw Jr.,1978,8,Retired,5/16/1945
Alan B. Shepard Jr.,1959,1,Deceased,11/18/1923
William M. Shepherd,1984,10,Retired,7/26/1949
Loren J. Shriver,1978,8,Retired,9/23/1944
Donald K. Slayton,1959,1,Deceased,3/1/1924
Michael J. Smith,1980,9,Deceased,4/30/1945
Steven L. Smith,1992,14,Management,12/30/1958
Sherwood C. Spring,1980,9,Retired,9/23/1944
Robert C. Springer,1980,9,Retired,5/21/1942
Thomas P. Stafford,1962,2,Retired,9/17/1930
Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,2/7/1963
Robert L. Stewart,1978,8,Retired,8/13/1942
Nicole P. Stott,2000,18,Active,11/19/1962
Frederick W. Sturckow,1995,15,Retired,8/11/1961
Kathryn D. Sullivan,1978,8,Retired,10/3/1951
Steven R. Swanson,1998,17,Active,12/3/1960
John L. Swigert Jr.,1966,5,Deceased,8/30/1931
Daniel M. Tani,1996,16,Retired,2/1/1961
Joseph R. Tanner,1992,14,Retired,1/21/1950
Norman E. Thagard,1978,8,Retired,7/3/1943
Andrew S. W. Thomas,1992,14,Management,12/18/1951
Donald A. Thomas,1990,13,Retired,5/6/1955
Stephen D. Thorne,1985,11,Deceased,2/11/1953
Kathryn C. Thornton,1984,10,Retired,8/17/1952
William E. Thornton,1967,6,Retired,4/14/1929
Pierre J. Thuot,1985,11,Retired,5/19/1955
Scott D. Tingle,2009,20,Active,7/19/1965
Richard H. Truly,1969,7,Retired,11/12/1937
Lodewijk van den Berg,,,Retired,3/24/1932
James D. van Hoften,1978,8,Retired,6/11/1944
Mark T. Vande Hei,2009,20,Active,11/10/1966
Charles Lacy Veach,1984,10,Deceased,9/18/1944
Terry W. Virts Jr.,2000,18,Active,12/1/1967
James S. Voss,1987,12,Retired,3/3/1949
Janice E. Voss,1990,13,Deceased,10/8/1956
Rex J. Walheim,1996,16,Active,10/10/1962
Charles D. Walker,,,Retired,8/29/1948
David M. Walker,1978,8,Deceased,5/20/1944
Shannon Walker,2004,19,Active,6/4/1965
Carl E. Walz,1990,13,Retired,9/6/1955
Taylor G. Wang,,,Retired,6/16/1940
Mary E. Weber,1992,14,Retired,8/24/1962
Paul J. Weitz,1966,5,Retired,6/25/1932
James D. Wetherbee,1984,10,Retired,11/27/1952
Douglas H. Wheelock,1998,17,Active,5/5/1960
Edward H. White II,1962,2,Deceased,11/14/1930
Peggy A. Whitson,1996,16,Active,2/9/1960
Terrence W. Wilcutt,1990,13,Management,10/31/1949
Clifton C. Williams Jr.,1963,3,Deceased,9/26/1932
Donald E. Williams,1978,8,Retired,2/13/1958
Jeffrey N. Williams,1996,16,Active,1/18/1958
Sunita L. Williams,1998,17,Active,9/19/1965
Barry E. Wilmore,2000,18,Active,12/29/1962
Stephanie D. Wilson,1996,16,Active,9/27/1966
G. Reid Wiseman,2009,20,Active,11/11/1975
Peter J. K. Wisoff,1990,13,Retired,8/16/1958
David A. Wolf,1990,13,Retired,8/23/1956
Neil W. Woodward III,1998,17,Retired,7/26/1962
Alfred M. Worden,1966,5,Retired,2/7/1932
John W. Young,1962,2,Retired,9/24/1930
George D. Zamka,1998,17,Retired,6/29/1962